==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][254/404]	Bacth_Time 20.775 (20.533)	Data 0.003 (0.025)	Loss 5.5787 (6.3403)	
Epoch: [1][256/404]	Bacth_Time 23.071 (20.545)	Data 0.003 (0.025)	Loss 5.7420 (6.3357)	
Epoch: [1][258/404]	Bacth_Time 20.957 (20.550)	Data 0.003 (0.025)	Loss 5.7194 (6.3313)	
Epoch: [1][260/404]	Bacth_Time 22.566 (20.560)	Data 0.007 (0.025)	Loss 5.9374 (6.3273)	
Epoch: [1][262/404]	Bacth_Time 20.764 (20.561)	Data 0.004 (0.024)	Loss 5.6211 (6.3235)	
Epoch: [1][264/404]	Bacth_Time 23.834 (20.580)	Data 0.004 (0.024)	Loss 5.8339 (6.3189)	
Epoch: [1][266/404]	Bacth_Time 22.455 (20.589)	Data 0.004 (0.024)	Loss 5.7185 (6.3135)	
Epoch: [1][268/404]	Bacth_Time 18.360 (20.589)	Data 0.004 (0.024)	Loss 5.7865 (6.3088)	
Epoch: [1][270/404]	Bacth_Time 17.107 (20.564)	Data 0.003 (0.024)	Loss 5.8698 (6.3038)	
Epoch: [1][272/404]	Bacth_Time 16.310 (20.532)	Data 0.003 (0.024)	Loss 5.5902 (6.3002)	
Epoch: [1][274/404]	Bacth_Time 16.293 (20.496)	Data 0.003 (0.024)	Loss 5.9310 (6.2957)	
Epoch: [1][276/404]	Bacth_Time 15.703 (20.474)	Data 0.003 (0.023)	Loss 5.4451 (6.2907)	
Epoch: [1][278/404]	Bacth_Time 14.962 (20.436)	Data 0.003 (0.023)	Loss 5.6921 (6.2878)	
Epoch: [1][280/404]	Bacth_Time 16.507 (20.406)	Data 0.003 (0.023)	Loss 5.3636 (6.2818)	
Epoch: [1][282/404]	Bacth_Time 15.448 (20.372)	Data 0.003 (0.023)	Loss 5.7343 (6.2772)	
Epoch: [1][284/404]	Bacth_Time 15.086 (20.336)	Data 0.003 (0.023)	Loss 6.0187 (6.2737)	
Epoch: [1][286/404]	Bacth_Time 14.948 (20.299)	Data 0.004 (0.023)	Loss 5.9996 (6.2687)	
Epoch: [1][288/404]	Bacth_Time 15.219 (20.263)	Data 0.004 (0.023)	Loss 6.0404 (6.2649)	
